Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2016","2016","","192.55","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2017","2017","","208.41","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2018","2018","","35.79","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2019","2019","","42.61","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2020","2020","","26.88","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2021","2021","","17.16","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2022","2022","","40.15","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01343","Apricots","2023","2023","","39.96","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2003","2003","","123.48","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2004","2004","","147.67","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2005","2005","","124.23","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2006","2006","","131.38","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2007","2007","","130.11","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2008","2008","","126.06","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2009","2009","","127.18","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2010","2010","","118.93","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2011","2011","","125.32","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2012","2012","","102.81","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2013","2013","","90.2","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2014","2014","","95.01","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2015","2015","","108.98","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2016","2016","","96.01","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2017","2017","","117.04","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2018","2018","","116.9","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2019","2019","","94.21","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2020","2020","","66.46","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2021","2021","","72.68","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2022","2022","","53.88","E","Estimated value"
"QI","Production Indices","250","France","432","Gross Production Index Number (2014-2016 = 100)","01216","Artichokes","2023","2023","","57.79","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01216","Artichokes","2003","2003","","131.93","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01216","Artichokes","2004","2004","","156.66","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01216","Artichokes","2005","2005","","130.83","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","01216","Artichokes","2006","2006","","137.41","E","Estimated value"
